ID: 142396549866061824 | Username: bakapat#5344 | Badges: Early Supporter
ID: 230247074325725184 | Username: Bixton#9517 | Badges: Early Supporter
ID: 237786890793779200 | Username: BunChata#9355 | Badges: Early Supporter
ID: 109887335788724224 | Username: Bunnarchist#6969 | Badges: Early Supporter
ID: 66529113858383872 | Username: Calmcacil#0001 | Badges: Early Supporter
ID: 95613030699630592 | Username: Catbag#5555 | Badges: Early Supporter
ID: 186928518054150154 | Username: Caveman In Cave#1854 | Badges: Early Supporter
ID: 217437438589665281 | Username: Cerberus#6465 | Badges: Early Supporter
ID: 110429977471639552 | Username: CombatBeaver#7092 | Badges: Early Supporter
ID: 277509936303308800 | Username: Conbuilder10#0369 | Badges: Early Supporter
ID: 155835419928428544 | Username: DanneMM#8200 | Badges: Early Supporter
ID: 136680158953209856 | Username: Doomtrooper83#5156 | Badges: Early Supporter
ID: 122281393215504384 | Username: eft#0001 | Badges: Early Supporter
ID: 66664814004412416 | Username: farfinugen#3333 | Badges: Early Supporter
ID: 140683657093316609 | Username: rosedoodle#8888 | Badges: Partnered Server Owner,Early Supporter
ID: 200617264427433984 | Username: Apakilyspe#0666 | Badges: Early Supporter
ID: 390338658743484416 | Username: Deckard#0001 | Badges: Early Supporter
ID: 375559173259264000 | Username: Dismal#8008 | Badges: Early Supporter
ID: 372019868167438336 | Username: Ether#4666 | Badges: Early Supporter
ID: 124867925227077633 | Username: Ghost Fox#0875 | Badges: Early Supporter
ID: 160956848042803200 | Username: GrayV#8079 | Badges: Early Supporter
ID: 148329518350860289 | Username: Jeff the Hobo#2730 | Badges: Early Supporter
ID: 111377528525975552 | Username: Kirah#0001 | Badges: Early Supporter
ID: 176586811173371906 | Username: thefrog101#6389 | Badges: Early Supporter
ID: 65530031979372544 | Username: Aishafan#9181 | Badges: Early Supporter
ID: 197523329932853249 | Username: HyperBallistic#0001 | Badges: Early Supporter
ID: 71475095851241472 | Username: Mnesma#0001 | Badges: Early Supporter
ID: 133145608079802368 | Username: FeatheredFlint#5185 | Badges: Early Supporter
ID: 130115282005000192 | Username: flac#5032 | Badges: Early Supporter
ID: 171895124106805249 | Username: flib#0001 | Badges: Early Supporter
ID: 162413368819449856 | Username: Florida Man#1613 | Badges: Early Supporter
ID: 147279138581905408 | Username: Freyr Aloysius#2022 | Badges: Early Supporter
ID: 97928850658312192 | Username: GaeaXIV#0516 | Badges: Early Supporter
ID: 143803196173844480 | Username: Harley Queen#3585 | Badges: Early Supporter
ID: 159017108993212416 | Username: Heartnail#8456 | Badges: Early Supporter
ID: 264941576499888130 | Username: Jay McGrath#4300 | Badges: Early Supporter
ID: 152466239606751241 | Username: jeffovertime#1789 | Badges: Early Supporter
ID: 99730487051829248 | Username: Koeko#0001 | Badges: Early Supporter
ID: 178375839774277632 | Username: Kuja#0001 | Badges: Early Supporter
ID: 107719667899998208 | Username: Kuto#1974 | Badges: Early Supporter
ID: 193471667916374017 | Username: KyousukeShii#0802 | Badges: Early Supporter
ID: 392466139856240650 | Username: Lachfinniel#3502 | Badges: Early Supporter
ID: 100885827751542784 | Username: Lupinoni#2697 | Badges: Early Supporter
ID: 149787468802031616 | Username: NorseOwl#1229 | Badges: Early Supporter
ID: 108807208619225088 | Username: Nyotter#0322 | Badges: Early Supporter
ID: 861395226361724971 | Username: OniGiri#0001 | Badges: Partnered Server Owner
ID: 140179588667015168 | Username: Pippers#0002 | Badges: Early Supporter
ID: 98226631608381440 | Username: pocketjawa#0001 | Badges: Early Supporter
ID: 225452083220840459 | Username: Sassh#0091 | Badges: Early Supporter
ID: 135106954837229568 | Username: ShadeOfEvil#8438 | Badges: Early Supporter
ID: 60832383296872448 | Username: Strippin#6180 | Badges: Partnered Server Owner
ID: 189382410771759104 | Username: Tippington#4727 | Badges: Early Supporter
ID: 194452991900647424 | Username: YesuDesu#0767 | Badges: Early Supporter
ID: 119289399081959426 | Username: Zamy#7777 | Badges: Early Supporter
ID: 106503265692172288 | Username: Zudrag#5410 | Badges: Early Supporter
ID: 159982626441134080 | Username: Ziphora#1311 | Badges: Early Supporter
ID: 264160678980485120 | Username: (=^-ω-^=) ♥#7331 | Badges: Early Supporter
ID: 80934679670161408 | Username: a_round_square#5628 | Badges: Early Supporter
ID: 383862046195974145 | Username: Above_Wilson#7993 | Badges: Early Supporter
